location,Followers,Hashtags,Username,Datetime,Text,Original,Unlemmatize
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:44:33+00:00,"['i', 'baited', 'running', 'away', 'xd']",I baited running away XD,i baited running away xd
,209,"['SmallStreamersConnectRT', 'ApexLegends', 'twitch', 'streaming', 'holidayseason', 'twitchdrops']",ltz_Diamond,2022-12-29 23:44:16+00:00,"['last', 'day', 'apex', 'twitch', 'drop', 'friend']",Last day for the Apex Twitch drops friends,last day apex twitch drops friends
Cap City,330,,Goonytunes_,2022-12-29 23:43:34+00:00,"['i', 'personally', 'like', 'lot', 'one', 's', 'i', 'moved', 'i', 'dont', 'like', 'list', 'order', 'tier', 'best', 'a']",I personally like that one a lot and these ones were in S at first but I moved them because I dont like them as much but the list is in order for every tier too so these are the best in A,i personally like lot ones s i moved i dont like list order tier best a
,128,"['Live', 'TwitchStreamers', 'TwitchAffilate', 'YouTube', 'ApexLegends', 'CallofDuty', 'CallofDutyWarzone', 'ModernWarfare2', 'ModernWarfareII', 'Fortnite', 'FortniteChapter4']",Drumsticc_,2022-12-29 23:43:10+00:00,"['newjust', 'video', 'i', 'dropped', 'hope', 'enjoy', 'great', 'day']","NEWJust a video I dropped, hope you enjoy and have a great day!",newjust video i dropped hope enjoy great day 
"Toronto, Ontario",337,"['ApexLegends', 'movement']",jJoshujtv,2022-12-29 23:42:47+00:00,"['i', ""don't"", 'i', 'regularly', 'fuck', 'this', 'pretty', 'simple', 'cool', 'movement', 'interactable', 'moveable', 'object', 'door', 'pill', 'sliding', 'door', 'give', 'little', 'boost', 'any', 'this']","I don't see it often but I regularly fuck around with this.Pretty simple but cool movement off interactable moveable objects (doors, pills, sliding doors). Gives a little boost. Any one else do this?",i don't i regularly fuck this pretty simple cool movement interactable moveable objects doors pills sliding doors gives little boost any this 
,2,"['PlayApex', 'ApexLegends', 'APEXフレンド募集', 'Forge', 'HEC', 'TURKISHSTARS']",charok101,2022-12-29 23:42:43+00:00,"['i', 'thing', 'source']",I did the thing! Source:,i thing source 
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:42:00+00:00,['sheeesh'],Sheeesh,sheeesh
,1212,,ImNutty__,2022-12-29 23:41:52+00:00,"['the', 's', 'replaced', 'the', 'man', 'bun', 'debatable']",The last in S can be replaced. The man bun is the only one debatable,the s replaced the man bun debatable
,221,,DylanFlicks,2022-12-29 23:40:51+00:00,"[""it's"", 'hard', 'tho', 's', 'tier', 'good', 'as', 'skin']",It's hard tho not all of them can be s tier so many good ass skins,it's hard tho s tier good ass skins
Paraguay,123,"['apexlegends', 'anime', 'streaminganime', 'livestreaming', 'facebookgaming', 'TwitchStreamer', 'twitchgaming', 'twitch', 'cachorrovolador', 'triunviratoinquisidor']",triunviratoreal,2022-12-29 23:40:41+00:00,"['live', 'now']",LIVE NOW | | |,live now 
,442,"['emotes', 'twitch', 'twitch', 'twitchstreamer', 'TwitchDE', 'Streamer', 'twitchpartner', 'SmallStreamerCommunity', 'Trovo', 'ApexLegends', 'smallstreamer', 'vtuber', 'supportsmallstreamers']",suzannahgfx,2022-12-29 23:40:41+00:00,"['wanna', 'cute', 'then', 'dmme']","Wanna cute for ,then Dmme",wanna cute then dmme
 ,642,,TotaIlyGnarly,2022-12-29 23:40:08+00:00,"['thank', 'god', 'man', 'bun', 'skin', 's', 'it', 'goated']",Thank god you have the man bun skin in S. Its so GOATED,thank god man bun skin s its goated
Raven’s Nest,768,['PS4live'],bloodabeast_og,2022-12-29 23:39:39+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
,1212,,ImNutty__,2022-12-29 23:39:04+00:00,"['high', 'class', 's', 'tier', 'literal', 'insanity', 'all', 'better', 's', 'especially', 'high', 'class']",High class being S tier is literal insanity. All three of these are better than the last in S. Especially high class,high class s tier literal insanity all better s especially high class
,43,,2SickNative,2022-12-29 23:39:03+00:00,"['i', 'want', 'loba', 'skin']",I really want the loba skin,i want loba skin
"Iowa, USA",23,"['apex', 'ApexLegends', 'apexclips', 'apexcommunity', 'apexmovement']",KurohFPS,2022-12-29 23:38:36+00:00,"['first', 'clip']",First clip,first clip
,23,,xylvl,2022-12-29 23:38:30+00:00,['shush'],shush,shush
"Las Vegas, Nevada",692,,Drae_Val,2022-12-29 23:37:24+00:00,"['doubt', 'apex', 'legend']","when in doubt, always Apex Legends",doubt apex legends
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:37:22+00:00,"['are', 'u', 'enjoying']",Are u enjoying yourself,are u enjoying
,299,['PS4live'],lentixlul,2022-12-29 23:37:06+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:36:56+00:00,"['volt', 'girlfriend']",Volt my girlfriend,volt girlfriend
"California, USA",2,['PS4live'],Dylan_TTV123,2022-12-29 23:36:24+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
Rstudio,21,['ApexLegends'],IrffyDoesData,2022-12-29 23:35:35+00:00,"['the', 'catalyst', 'ult', 'completely', 'useless', 'scan', 'lmao']",The catalyst ult is completely useless if you can just scan through it lmao,the catalyst ult completely useless scan lmao
,0,,ouizkid,2022-12-29 23:35:14+00:00,"['haha', 'absolutely', 'slayed', 'round', 'gg', 'demoniio', 'the', 'second', 'i', 'saw', 'you', 'i', 'knew']","Haha you absolutely slayed me last round, GG Demoniio! The second I saw it was you, I knew it was over",haha absolutely slayed round gg demoniio the second i saw you i knew
,86,,JxckFNT,2022-12-29 23:34:01+00:00,"['i', 'fortnite', 'acc', 'i', 'got', 'scammed', 'i', 'play', 'acc', 'skin', 'pls']",can I have your fortnite acc then since I got scammed and I play on a acc with skins pls?,i fortnite acc i got scammed i play acc skins pls 
Upstate New York,39,['ApexLegends'],KRNRGaming,2022-12-29 23:33:55+00:00,"['i', 'pray', 'day', 'i', 'play', 'shot', 'wall', 'door', 'cargo', 'container', 'for', 'happen', 'need', 'better', 'server', 'way', 'happens', 'leave', 'ea', 'so', 'gonna', 'happen']","I pray for a day where I can play and not get shot through a wall/door/cargo container. For that to happen, would need better servers and the only way that happens is if they leave EA. So it never gonna happen.",i pray day i play shot wall door cargo container for happen need better servers way happens leave ea so gonna happen 
,28,"['ApexLegends', 'Twitch']",Papaya_Godess,2022-12-29 23:33:54+00:00,"['i', 'live', 'cuties', 'come', 'hi']","I am live cuties, come and say hi",i live cuties come hi
,128,"['Live', 'TwitchStreamers', 'TwitchAffilate', 'YouTube', 'ApexLegends', 'CallofDuty', 'CallofDutyWarzone', 'ModernWarfare2', 'ModernWarfareII', 'Fortnite', 'FortniteChapter4']",Drumsticc_,2022-12-29 23:33:32+00:00,"['livecome', 'tune', 'in']",LIVECome tune in!,livecome tune in 
"Peaceful AF,  USA",487,['PS4live'],JozieMariee,2022-12-29 23:33:29+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:33:29+00:00,"['she', 'jumpscared', 'meh']",She jumpscared meh,she jumpscared meh
Dm Open NSW ,1214,,ItPolarAU,2022-12-29 23:33:20+00:00,"['we', 'moving']",We are moving to,we moving
Gotham City,367,"['PS5Share', 'ApexLegends']",ElChapo973,2022-12-29 23:33:12+00:00,"['idk', 'won']","Idk how i won ,",idk won 
,236,,iamnothappie,2022-12-29 23:33:12+00:00,"['there', 'banner', 'lol', 'pinged', 'deathbox', 'thats', 'like', 'grabbed', 'banner', 'lol', 'and', 'yes', 'custom', 'bind', 'got', 'interact', 'button', 'right', 'analog', 'stick']","There was no banner lol, i pinged my own deathbox thats why it seemed like i grabbed a banner lol. And yes i have custom binds, i got my interact button on my right analog stick!",there banner lol pinged deathbox thats like grabbed banner lol and yes custom binds got interact button right analog stick 
,4,"['ApexLegends', 'ranked', 'ranked']",Everygamebots,2022-12-29 23:32:11+00:00,"['lust', 'met', 'legend', 'wow', 'felt', 'good', 'throw', 'like', 'player', 'man', 'guy', 'dopest', 'teammate', 'fucking', 'added', 'cause', 'id']",Lust met some legends in and wow it felt good never did they throw like % of players in man these guys where the dopest teammates ever fucking with they added me cause Id never see them again,lust met legends wow felt good throw like players man guys dopest teammates fucking added cause id
clownhex queendom,150,['ApexLegends'],clownhexx,2022-12-29 23:31:18+00:00,"['popular', 'unpopular', 'opinion', 'wraith', 'meta', 'meta']",popular unpopular opinion: wraith is meta and will always be meta,popular unpopular opinion wraith meta meta
,79,,KING66844439,2022-12-29 23:30:25+00:00,"['no', 'asked', 'plus', 'dog', 'shit', 'game']",No one asked plus dog shit game,no asked plus dog shit game
,236,,iamnothappie,2022-12-29 23:30:11+00:00,"['thank', 'you', 'will', 'posting', 'clip', 'got', 'twitter', 'blue']",Thank you! Will be posting more clips here since i got twitter blue,thank you will posting clips got twitter blue
Your Fridge,168,,RottenSinclair,2022-12-29 23:30:03+00:00,"['whoever', 'said', 'octane', 'apex', 'legend', 'ugly', 'i', 'fight', 'you']","Whoever said Octane from Apex Legends is ugly, I will fight you.",whoever said octane apex legends ugly i fight you 
Cap City,330,,Goonytunes_,2022-12-29 23:29:17+00:00,"['only', 'list', 'u', 'need', 'thank', 'later']",Only list u will need thank me later,only list u need thank later
Made by ɴɪᴄᴏ / mdni / parody,205,,SalvosGrenadee,2022-12-29 23:28:06+00:00,"['omg', 'im', 'playing', 'apex', 'legend', 'time', 'month']",//omg Im playing apex legends for the first time in months, omg im playing apex legends time months
,15,,bxdles,2022-12-29 23:27:55+00:00,"['apex', 'legend', 'need', 'cross', 'progression', 'fps', 'new', 'console']",Apex legends needs cross progression and fps for the new consoles,apex legends needs cross progression fps new consoles
,6,,Im_C0MET,2022-12-29 23:27:29+00:00,"['it', 'time', 'revamp', 're', 'apex', 'it', 'beginning', 'material', 'thing', 'teammate', 'banner', 'increase', 'timer', 'something', 'hate', 'spectating', 'game', 'ranked']",Its time to revamp the res system in Apex. Its been the same since the beginning and materials being a thing for a while now just make it to where we can make our teammates banners or increase timers something. Hate just spectating for /4 a game in ranked,its time revamp res apex its beginning materials thing teammates banners increase timers something hate spectating game ranked
,125,,EmilyBombino,2022-12-29 23:27:00+00:00,"['damn', 'i', 'leave', 'banner', 'timed', 'out', 'but', 'gg']",Damn. I only leave once banner is timed out. But GG.,damn i leave banner timed out but gg 
,1864,['PS4live'],warrendied,2022-12-29 23:26:50+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
Edolas,1180,['exophase'],psiagani23,2022-12-29 23:26:32+00:00,"['naga', 'played', 'fifa', 'p', 'apex', 'legend', 'p', 'hour']",naga played FIFA (PS4) and Apex Legends (PS4) in the last hours,naga played fifa ps apex legends ps hours
greed island,131,"['fortniteevent', 'Fortnite', 'fortnite', 'consoleplayer', 'FaZeUp', 'FaZe1', 'FaZe', 'ApexLegends', 'YouTube', 'ConsoleKing', 'Fortniteleaks', 'FortniteSeason8', 'fortnitepro', 'ControllerGang', 'OneOfAKind', 'FortniteBattleRoyale', 'FortniteClips', 'OARC', 'Rebirth', 'warzone']",kogunaeYT,2022-12-29 23:26:13+00:00,"['live', 'rn']",LIVE RN! |,live rn 
,1888,,no_viewers,2022-12-29 23:26:05+00:00,"['thesneakysantav', 'streaming', 'apex', 'legend', 'minute', ""one's"", 'watching', 'them', 'hi', 'day', 'tag', 'favourite', 'apex', 'legend', 'streamer']","thesneakysantav2 has been streaming Apex Legends for minutes and no one's watching them, go say hi and make their day . Tag your favourite Apex Legends streamer.",thesneakysantav streaming apex legends minutes one's watching them hi day tag favourite apex legends streamer 
Valenciennes,25,['exophase'],CyPortable,2022-12-29 23:26:04+00:00,"['cyangelizer', 'played', 'nioh', 'p', 'apex', 'legend', 'p', 'hour']",CyAngelizer played Nioh (PS5) and Apex Legends (PS4) in the last hours,cyangelizer played nioh ps apex legends ps hours
Timezone Asia/Tokyo (GMT+9),266,"['ApexLegends', 'マップローテーション']",MapRotationBot,2022-12-29 23:23:41+00:00,"['current', ""world's"", 'edge', 'next', 'broken', 'moon']",Current:World's Edge at :00-09:00Next:Broken Moon at :00-10:30,current world's edge next broken moon 
,4,['ApexLegends'],ThirstyPancakes,2022-12-29 23:23:40+00:00,"['the', 'subtle', 'art', 'destruction']",The subtle art of destruction,the subtle art destruction
,206,['PS4live'],ihyalextv,2022-12-29 23:23:00+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
,424,"['ApexLegends', 'ranked', 'thursdayvibes', 'clips', 'twitch']",ridesrambles,2022-12-29 23:22:54+00:00,"['fastest', 'squad', 'wipe', 'east']",Fastest squad wipe in the east.,fastest squad wipe east 
,185,,TPakuru,2022-12-29 23:22:39+00:00,"['already', 'released']",Already released this,already released
"Costa Mesa, CA",254,,soundaholism,2022-12-29 23:22:38+00:00,"['i', 'tried', 'apex', 'legend', 'battle', 'royale', 'game', 'ever', 'had', 'great', 'game', 'won', 'st', 'i', ""don't"", 'know', 'screwed', 'matchmaking', 'game', 'death', 'confusion', 'suffering']","I tried Apex Legends which is also my first battle royale game ever. Had a really great first game and won st. I don't know if that screwed up my matchmaking but every game after that was death, confusion, and suffering",i tried apex legends battle royale game ever had great game won st i don't know screwed matchmaking game death confusion suffering
Jacksonville ,266,,Bubbafutch1,2022-12-29 23:22:15+00:00,['this'],This,this
