location,Followers,Hashtags,Username,Datetime,Text
,442,"['emotes', 'twitch', 'twitch', 'twitchstreamer', 'TwitchDE', 'Streamer', 'twitchpartner', 'SmallStreamerCommunity', 'Trovo', 'ApexLegends', 'smallstreamer', 'vtuber', 'supportsmallstreamers']",suzannahgfx,2022-12-29 23:40:41+00:00,"Wanna cute #emotes for #twitch,then Dmme❤️
#twitch #twitchstreamer #TwitchDE #Streamer #twitchpartner #SmallStreamerCommunity #Trovo #ApexLegends #smallstreamer #vtuber #supportsmallstreamers
@SGH_RTs @GDAutoArt @StreamerSupRT @rtsmallstreams @stream_rt @EsportsTweeter https://t.co/l2iaiS1JEG"
 ,642,,TotaIlyGnarly,2022-12-29 23:40:08+00:00,@Goonytunes_ @PlayApex Thank god you have the man bun skin in S. It’s so GOATED
Raven’s Nest,768,['PS4live'],bloodabeast_og,2022-12-29 23:39:39+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/sBiE7Qyan7
,1212,,ImNutty__,2022-12-29 23:39:04+00:00,@Goonytunes_ @PlayApex High class being S tier is literal insanity. All three of these are better than the last 3 in S. Especially high class https://t.co/kk1HC7f7cA
,43,,2SickNative,2022-12-29 23:39:03+00:00,@iiTzCherri @PlayApex I really want the loba skin 😞
"Iowa, USA",23,"['apex', 'ApexLegends', 'apexclips', 'apexcommunity', 'apexmovement']",KurohFPS,2022-12-29 23:38:36+00:00,First clip 😳 #apex #ApexLegends #apexclips #apexcommunity #apexmovement https://t.co/gsOybmOgUc
,23,,xylvl,2022-12-29 23:38:30+00:00,@JxckFNT @ItPolarAU @PlayApex shush
"Las Vegas, Nevada",692,,Drae_Val,2022-12-29 23:37:24+00:00,"@LeeandLie when in doubt, always Apex Legends 🙂"
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:37:22+00:00,"Are u enjoying yourself
#PS5Share #ApexLegends https://t.co/6xXcJmBcBL"
,299,['PS4live'],lentixlul,2022-12-29 23:37:06+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/dlqa4QFN3U
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:36:56+00:00,"Volt my girlfriend
#PS5Share #ApexLegends https://t.co/zkPBYecdzC"
"California, USA",2,['PS4live'],Dylan_TTV123,2022-12-29 23:36:24+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/2nLYCu3ASr
Rstudio,21,['ApexLegends'],IrffyDoesData,2022-12-29 23:35:35+00:00,The catalyst ult is completely useless if you can just scan through it lmao #ApexLegends
,0,,ouizkid,2022-12-29 23:35:14+00:00,"@DemoniioTV @PlayApex Haha you absolutely slayed me last round, GG Demoniio! The second I saw it was you, I knew it was over 🥲"
,86,,JxckFNT,2022-12-29 23:34:01+00:00,@ItPolarAU @PlayApex can I have your fortnite acc then since I got scammed and I play on a acc with 2 skins pls?
Upstate New York,39,['ApexLegends'],KRNRGaming,2022-12-29 23:33:55+00:00,"I pray for a day where I can play #ApexLegends and not get shot through a wall/door/cargo container. For that to happen, @Respawn would need better servers and the only way that happens is if they leave EA. So it never gonna happen."
,28,"['ApexLegends', 'Twitch']",Papaya_Godess,2022-12-29 23:33:54+00:00,"I am live cuties, come and say hi🥳 #ApexLegends #Twitch @esportnightmare https://t.co/k4nJSiuqfo"
,128,"['Live', 'TwitchStreamers', 'TwitchAffilate', 'YouTube', 'ApexLegends', 'CallofDuty', 'CallofDutyWarzone', 'ModernWarfare2', 'ModernWarfareII', 'Fortnite', 'FortniteChapter4']",Drumsticc_,2022-12-29 23:33:32+00:00,❗️LIVE❗️Come tune in! https://t.co/rKRvBpwM2p #Live #TwitchStreamers #TwitchAffilate #YouTube #ApexLegends #CallofDuty #CallofDutyWarzone #ModernWarfare2 #ModernWarfareII #Fortnite #FortniteChapter4
"Peaceful AF,  USA",487,['PS4live'],JozieMariee,2022-12-29 23:33:29+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/oKt7NMa2Et
19 • Omnisexual,1055,"['PS5Share', 'ApexLegends']",GoddessLuciaaa,2022-12-29 23:33:29+00:00,"She jumpscared meh
#PS5Share #ApexLegends https://t.co/ApMnpIP6HU"
Dm Open NSW ,1214,,ItPolarAU,2022-12-29 23:33:20+00:00,We are moving to @PlayApex
Gotham City,367,"['PS5Share', 'ApexLegends']",ElChapo973,2022-12-29 23:33:12+00:00,"Idk how i won #PS5Share, #ApexLegends https://t.co/etfqvtLZOU"
