Username,Datetime,Text
cilike11,2022-12-01 23:59:40+00:00,@Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. (@bts_bighit @BIGHIT_MUSIC @HYBEOFFICIALtwt)
TorralbaRhodora,2022-12-01 23:59:39+00:00,Thanks Mark Ambor for spending 635 minutes with me in 2022. I couldn’t stop listening to Sky is the Limit. #SpotifyWrapped https://t.co/9MV6bZirkq
ohthathayley,2022-12-01 23:59:38+00:00,"Turns out I used Spotify enough this year to get a Spotify wrapped. Tell me you’re gay, without telling me you’re gay. @findingfletcher https://t.co/06BHZFLBfI"
lunatic_130613,2022-12-01 23:59:38+00:00,".@Spotify @SpotifyCares We would like an explanation as to why they removed streams of songs by Jungkook, V, and BTS themselves on #spotifywrapped   . Why are the songs that we stream the most not showing up for us? Why is the problem only with BTS???"
kit_ballesteros,2022-12-01 23:59:38+00:00,"This year, I spent 8,344 minutes listening. Think you topped that? Find out with #SpotifyWrapped  https://t.co/yROHztluMP"
insanerene,2022-12-01 23:59:38+00:00,"PSA: how to block an artist on Spotify.
#Kanye #SpotifyWrapped https://t.co/nhADmhfdXx"
BattleGrace,2022-12-01 23:59:38+00:00,Thanks The Halluci Nation for spending the most time with me in 2022. I couldn’t stop listening to Electric Pow Wow Drum. #SpotifyWrapped https://t.co/ghUm3otic2
OGMs_sylveon,2022-12-01 23:59:36+00:00,"Thanks @alecbenjamin for spending 1,748 minutes with me in 2022. I couldn’t stop listening to Devil Doesn’t Bargain. #SpotifyWrapped https://t.co/RYGIVdr534"
Babydeeeee,2022-12-01 23:59:36+00:00,Thanks @chrisbrown for spending 698 minutes with me in 2022. I couldn’t stop listening to Woo Baby (feat. Chris Brown). #SpotifyWrapped https://t.co/H8Xzm5YaEZ
Swiftzy2,2022-12-01 23:59:34+00:00,"Thanks Neck Deep for spending 1,097 minutes with me in 2022. I couldn’t stop listening to Gold Steps. #SpotifyWrapped https://t.co/TQZVzLGzEv"
LlanasEliel,2022-12-01 23:59:33+00:00,Thanks Grupo Frontera for spending 255 minutes with me in 2022. I couldn’t stop listening to Si Yo Fuera Ladrón. #SpotifyWrapped https://t.co/3YhYfZqnrd
Bean_Counter_HB,2022-12-01 23:59:33+00:00,"Thanks @datelinenbc for being my top podcast on @Spotify this year. I loved all 4,133 minutes of it. #SpotifyWrapped    https://t.co/XfgH3vZ3m0"
Aar0nSm1th1,2022-12-01 23:59:33+00:00,Thanks @drake for spending 830 minutes with me in 2022. I couldn’t stop listening to Marvins Room. #SpotifyWrapped    https://t.co/pZmXhD6GLI
AndrAxdxe416,2022-12-01 23:59:33+00:00,"Danke für die 5.237 Minuten, die wir im Jahr 2022 zusammen verbracht haben, Edo Saiya. Ich konnte einfach nicht genug von Highway bekommen. #SpotifyWrapped https://t.co/wxXYRyFGM3"
KrmenMo,2022-12-01 23:59:32+00:00,"@SpotifyCares we are waiting for your explanation on why you removed 'Left and Right' from Jungkook and 'My Universe' from BTS on Spotify Wrapped this year. Both songs are equally theirs. Explain to us your charts and this sudden removal. 
#SpotifyCorrupt"
maxxx362238,2022-12-01 23:59:31+00:00,"Thanks Ichiko Aoba for spending 1,430 minutes with me in 2022. I couldn’t stop listening to Dawn in the Adan. #SpotifyWrapped https://t.co/lDqI1QlZSG"
MeessenFrank,2022-12-01 23:59:31+00:00,"Danke für die 981 Minuten, die wir im Jahr 2022 zusammen verbracht haben, Bonobo. Ich konnte einfach nicht genug von Tides bekommen. #SpotifyWrapped https://t.co/rk9hLsRyBL"
petrone_flavio,2022-12-01 23:59:31+00:00,Grazie Baby Gang per i 2.016 minuti trascorsi insieme nel 2022. Paranoia sempre in loop. Ma sempre sempre. #SpotifyWrapped https://t.co/bMreIyDYxO
